?type	?uri	?labels	?definitions	?editor_notes	?examples	?statuses	?human_friendly_names	?name_of_editors	?alternative_names	?citations
"C"	<http://purl.obolibrary.org/obo/BFO_0000030>	"object"		"BFO 2 Reference: ‘objects’ are sometimes referred to as ‘grains’ [74|BFO 2 Reference: BFO rests on the presupposition that at multiple micro-, meso- and macroscopic scales reality exhibits certain stable, spatially separated or separable material units, combined or combinable into aggregates of various sorts (for example organisms into what are called ‘populations’). Such units play a central role in almost all domains of natural science from particle physics to cosmology. Many scientific laws govern the units in question, employing general terms (such as ‘molecule’ or ‘planet’) referring to the types and subtypes of units, and also to the types and subtypes of the processes through which such units develop and interact. The division of reality into such natural units is at the heart of biological science, as also is the fact that these units may form higher-level units (as cells form multicellular organisms) and that they may also form aggregates of units, for example as cells form portions of tissue and organs form families, herds, breeds, species, and so on. At the same time, the division of certain portions of reality into engineered units (manufactured artifacts) is the basis of modern industrial technology, which rests on the distributed mass production of engineered parts through division of labor and on their assembly into larger, compound units such as cars and laptops. The division of portions of reality into units is one starting point for the phenomenon of counting.|BFO 2 Reference: an object is a maximal causally unified material entity|BFO 2 Reference: Each object is such that there are entities of which we can assert unproblematically that they lie in its interior, and other entities of which we can assert unproblematically that they lie in its exterior. This may not be so for entities lying at or near the boundary between the interior and exterior. This means that two objects – for example the two cells depicted in Figure 3 – may be such that there are material entities crossing their boundaries which belong determinately to neither cell. Something similar obtains in certain cases of conjoined twins (see below).|BFO 2 Reference: To say that b is causally unified means: b is a material entity which is such that its material parts are tied together in such a way that, in environments typical for entities of the type in question,if c, a continuant part of b that is in the interior of b at t, is larger than a certain threshold size (which will be determined differently from case to case, depending on factors such as porosity of external cover) and is moved in space to be at t at a location on the exterior of the spatial region that had been occupied by b at t, then either b’s other parts will be moved in coordinated fashion or b will be damaged (be affected, for example, by breakage or tearing) in the interval between t and t.causal changes in one part of b can have consequences for other parts of b without the mediation of any entity that lies on the exterior of b. Material entities with no proper material parts would satisfy these conditions trivially. Candidate examples of types of causal unity for material entities of more complex sorts are as follows (this is not intended to be an exhaustive list):CU1: Causal unity via physical coveringHere the parts in the interior of the unified entity are combined together causally through a common membrane or other physical covering\\. The latter points outwards toward and may serve a protective function in relation to what lies on the exterior of the entity [13, 47"	"engineered artifacts|grain of sand|organelle|cell|atom|organism|cells and organisms|planet|solid portions of matter|star|molecule"					
"C"	<http://purl.obolibrary.org/obo/BFO_0000031>	"generically dependent continuant"	"b is a generically dependent continuant = Def. b is a continuant that g-depends_on one or more other entities. (axiom label in BFO2 Reference: [074-001])|A continuant that is dependent on one or other independent continuant bearers. For every instance of A requires some instance of (an independent continuant type) B but which instance of B serves can change from time to time."		"The entries in your database are patterns instantiated as quality instances in your hard drive. The database itself is an aggregate of such patterns. When you create the database you create a particular instance of the generically dependent continuant type database. Each entry in the database is an instance of the generically dependent continuant type IAO: information content entity.|the sequence of this protein molecule; the sequence that is a copy thereof in that protein molecule.|the pdf file on your laptop, the pdf file that is a copy thereof on my laptop"					
"C"	<http://purl.obolibrary.org/obo/BFO_0000034>	"function"		"BFO 2 Reference: In the past, we have distinguished two varieties of function, artifactual function and biological function. These are not asserted subtypes of BFO:function however, since the same function – for example: to pump, to transport – can exist both in artifacts and in biological entities. The asserted subtypes of function that would be needed in order to yield a separate monoheirarchy are not artifactual function, biological function, etc., but rather transporting function, pumping function, etc."	"the function of a hammer to drive in nails|the function of amylase in saliva to break down starch into sugar|the function of a heart pacemaker to regulate the beating of a heart through electricity"					
"C"	<http://purl.obolibrary.org/obo/BFO_0000035>	"process boundary"	"p is a process boundary =Def. p is a temporal part of a process & p has no proper temporal parts. (axiom label in BFO2 Reference: [084-001])"		"the boundary between the 2nd and 3rd year of your life."					
"C"	<http://purl.obolibrary.org/obo/BFO_0000038>	"one-dimensional temporal region"		"BFO 2 Reference: A temporal interval is a special kind of one-dimensional temporal region, namely one that is self-connected (is without gaps or breaks)."	"the temporal region during which a process occurs."					
"C"	<http://purl.obolibrary.org/obo/BFO_0000040>	"material entity"	"An independent continuant that is spatially extended whose identity is independent of that of other entities and can be maintained through time."	"BFO 2 Reference: ‘Matter’ is intended to encompass both mass and energy (we will address the ontological treatment of portions of energy in a later version of BFO). A portion of matter is anything that includes elementary particles among its proper or improper parts: quarks and leptons, including electrons, as the smallest particles thus far discovered; baryons (including protons and neutrons) at a higher level of granularity; atoms and molecules at still higher levels, forming the cells, organs, organisms and other material entities studied by biologists, the portions of rock studied by geologists, the fossils studied by paleontologists, and so on.Material entities are three-dimensional entities (entities extended in three spatial dimensions), as contrasted with the processes in which they participate, which are four-dimensional entities (entities extended also along the dimension of time).According to the FMA, material entities may have immaterial entities as parts – including the entities identified below as sites; for example the interior (or ‘lumen’) of your small intestine is a part of your body. BFO 2.0 embodies a decision to follow the FMA here.|BFO 2 Reference: Object, Fiat Object Part and Object Aggregate are not intended to be exhaustive of Material Entity. Users are invited to propose new subcategories of Material Entity.|BFO 2 Reference: Material entities (continuants) can preserve their identity even while gaining and losing material parts. Continuants are contrasted with occurrents, which unfold themselves in successive temporal parts or phases [60"	"a photon|a forest fire|an energy wave|a hurricane|an epidemic|a flame|the undetached arm of a human being|a puff of smoke|an aggregate of human beings.|a human being|a tornado|a sea wave"					
"C"	<http://purl.obolibrary.org/obo/BFO_0000140>	"continuant fiat boundary"	"b is a continuant fiat boundary = Def. b is an immaterial entity that is of zero, one or two dimensions and does not include a spatial region as part. (axiom label in BFO2 Reference: [029-001])"	"BFO 2 Reference: a continuant fiat boundary is a boundary of some material entity (for example: the plane separating the Northern and Southern hemispheres; the North Pole), or it is a boundary of some immaterial entity (for example of some portion of airspace). Three basic kinds of continuant fiat boundary can be distinguished (together with various combination kinds [29|BFO 2 Reference: In BFO 1.1 the assumption was made that the external surface of a material entity such as a cell could be treated as if it were a boundary in the mathematical sense. The new document propounds the view that when we talk about external surfaces of material objects in this way then we are talking about something fiat. To be dealt with in a future version: fiat boundaries at different levels of granularity.More generally, the focus in discussion of boundaries in BFO 2.0 is now on fiat boundaries, which means: boundaries for which there is no assumption that they coincide with physical discontinuities. The ontology of boundaries becomes more closely allied with the ontology of regions.|Continuant fiat boundary doesn't have a closure axiom because the subclasses don't necessarily exhaust all possibilites. An example would be the mereological sum of two-dimensional continuant fiat boundary and a one dimensional continuant fiat boundary that doesn't overlap it. The situation is analogous to temporal and spatial regions."						
"C"	<http://purl.obolibrary.org/obo/BFO_0000141>	"immaterial entity"		"BFO 2 Reference: Immaterial entities are divided into two subgroups:boundaries and sites, which bound, or are demarcated in relation, to material entities, and which can thus change location, shape and size and as their material hosts move or change shape or size (for example: your nasal passage; the hold of a ship; the boundary of Wales (which moves with the rotation of the Earth) [38, 7, 10"						
"C"	<http://purl.obolibrary.org/obo/BFO_0000142>	"one-dimensional continuant fiat boundary"			"the median sulcus of your tongue|the line separating the outer surface of the mucosa of the lower lip from the outer surface of the skin of the chin.|all geopolitical boundaries|The Equator|all lines of latitude and longitude"					
"C"	<http://purl.obolibrary.org/obo/BFO_0000144>	"process profile"	"b is a process_profile =Def. there is some process c such that b process_profile_of c (axiom label in BFO2 Reference: [093-002])"		"On a somewhat higher level of complexity are what we shall call rate process profiles, which are the targets of selective abstraction focused not on determinate quality magnitudes plotted over time, but rather on certain ratios between these magnitudes and elapsed times. A speed process profile, for example, is represented by a graph plotting against time the ratio of distance covered per unit of time. Since rates may change, and since such changes, too, may have rates of change, we have to deal here with a hierarchy of process profile universals at successive levels|The simplest type of process profiles are what we shall call ‘quality process profiles’, which are the process profiles which serve as the foci of the sort of selective abstraction that is involved when measurements are made of changes in single qualities, as illustrated, for example, by process profiles of mass, temperature, aortic pressure, and so on.|One important sub-family of rate process profiles is illustrated by the beat or frequency profiles of cyclical processes, illustrated by the 60 beats per minute beating process of John’s heart, or the 120 beats per minute drumming process involved in one of John’s performances in a rock band, and so on. Each such process includes what we shall call a beat process profile instance as part, a subtype of rate process profile in which the salient ratio is not distance covered but rather number of beat cycles per unit of time. Each beat process profile instance instantiates the determinable universal beat process profile. But it also instantiates multiple more specialized universals at lower levels of generality, selected from   rate process profilebeat process profileregular beat process profile3 bpm beat process profile4 bpm beat process profileirregular beat process profileincreasing beat process profileand so on.In the case of a regular beat process profile, a rate can be assigned in the simplest possible fashion by dividing the number of cycles by the length of the temporal region occupied by the beating process profile as a whole. Irregular process profiles of this sort, for example as identified in the clinic, or in the readings on an aircraft instrument panel, are often of diagnostic significance."					
"C"	<http://purl.obolibrary.org/obo/BFO_0000145>	"relational quality"	"b is a relational quality = Def. for some independent continuants c, d and for some time t: b quality_of c at t & b quality_of d at t. (axiom label in BFO2 Reference: [057-001])"		"John’s role of husband to Mary is dependent on Mary’s role of wife to John, and both are dependent on the object aggregate comprising John and Mary as member parts joined together through the relational quality of being married.|a marriage bond, an instance of love, an obligation between one person and another."					
"C"	<http://purl.obolibrary.org/obo/BFO_0000146>	"two-dimensional continuant fiat boundary"								
"C"	<http://purl.obolibrary.org/obo/BFO_0000147>	"zero-dimensional continuant fiat boundary"		"zero dimension continuant fiat boundaries are not spatial points. Considering the example 'the quadripoint where the boundaries of Colorado, Utah, New Mexico, and Arizona meet' : There are many frames in which that point is zooming through many points in space. Whereas, no matter what the frame, the quadripoint is always in the same relation to the boundaries of Colorado, Utah, New Mexico, and Arizona."	"the quadripoint where the boundaries of Colorado, Utah, New Mexico, and Arizona meet|the point of origin of some spatial coordinate system.|the geographic North Pole"					
"C"	<http://purl.obolibrary.org/obo/BFO_0000148>	"zero-dimensional temporal region"			"a temporal region that is occupied by a process boundary|the moment of death.|the moment at which a finger is detached in an industrial accident|right now|the moment at which a child is born"				"temporal instant."	
"C"	<http://purl.obolibrary.org/obo/BFO_0000182>	"history"								
"C"	<http://purl.obolibrary.org/obo/GAZ_00000448>	"geographic location"	"A reference to a place on the Earth, by its name or by its geographical location."				"geographic location"			
"C"	<http://purl.obolibrary.org/obo/IAO_0000001>	"conditional specification"	"a directive information entity that specifies what should happen if the trigger condition is fulfilled"			"http://purl.obolibrary.org/obo/IAO_0000120"	"conditional specification"	"PlanAndPlannedProcess Branch"		"OBI_0000349|OBI branch derived"
"C"	<http://purl.obolibrary.org/obo/IAO_0000003>	"measurement unit label"	"A measurement unit label is as a label that is part of a scalar measurement datum and denotes a unit of measure."	"2009-03-16: review of this term done during during the OBI workshop winter 2009 and the current definition was considered acceptable for use in OBI. If there is a need to modify this definition please notify OBI.|2009-03-16: provenance: a term measurement unit was\nproposed for OBI (OBI_0000176) , edited by Chris Stoeckert and\nCristian Cocos, and subsequently moved to IAO where the objective for\nwhich the original term was defined was satisfied with the definition\nof this, different, term."	"Examples of measurement unit labels are liters, inches, weight per volume."	"http://purl.obolibrary.org/obo/IAO_0000125"	"measurement unit label"	"PERSON: Melanie Courtot|PERSON: Alan Ruttenberg"		
"C"	<http://purl.obolibrary.org/obo/IAO_0000005>	"objective specification"	"a directive information entity that describes an intended process endpoint. When part of a plan specification the concretization is realized in a planned process in which the bearer tries to effect the world so that the process endpoint is achieved."	"2014-03-31: In the example of usage (\"In the protocol of a ChIP assay the objective specification says to identify protein and DNA interaction\") there is a protocol which is the ChIP assay protocol. In addition to being concretized on paper, the protocol can be concretized as a realizable entity, such as a plan that inheres in a person. The objective specification is the part that says that some protein and DNA interactions are identified. This is a specification of a process endpoint: the boundary in the process before which they are not identified and after which they are. During the realization of the plan, the goal is to get to the point of having the interactions, and participants in the realization of the plan try to do that.|Answers the question, why did you do this experiment?|2009-03-16: original definition when imported from OBI read: \"objective is an non realizable information entity which can serve as that  proper part of a plan towards which the realization of the plan is directed.\""	"In the protocol of a ChIP assay the objective specification says to identify protein and DNA interaction."	"http://purl.obolibrary.org/obo/IAO_0000122"	"objective specification"	"PERSON: Bjoern Peters|PERSON: Alan Ruttenberg|PERSON: Jennifer Fostel|PERSON: Barry Smith"	"goal specification"	"OBI Plan and Planned Process/Roles Branch|OBI_0000217"
"C"	<http://purl.obolibrary.org/obo/IAO_0000006>	"narrative object"	"A narrative object is an information content entity that is a set of propositions."	"agree - DENRIE. Issue(alan) do we only mean text? What about a story told by mime. Does music count? (no) what about an oral report. Regarding definition, saying it is a set of propositions means we loose the idea that wording matters. Maybe adjust saying a narrative object has some relationshop to a set of propositions|2009-08-10 Alan Ruttenberg: Larry Hunter suggests that this be obsoleted and replaced by 'textual entity' and 'figure'. Alan restored as there are OBI dependencies and this merits further discussion"	"Examples of narrative objects are reports, journal  articles, and patents submission."	"http://purl.obolibrary.org/obo/IAO_0000123"	"narrative object"	"person:Chris Stoeckert"		"group:OBI|OBI_0000013"
"C"	<http://purl.obolibrary.org/obo/IAO_0000007>	"action specification"	"a directive information entity that describes an action the bearer will take"		"Pour the contents of flask 1 into flask 2"	"http://purl.obolibrary.org/obo/IAO_0000122"		"Alan Ruttenberg"		"OBI Plan and Planned Process branch"
"C"	<http://purl.obolibrary.org/obo/IAO_0000008>	"obsolete_artifact"								
"C"	<http://purl.obolibrary.org/obo/IAO_0000009>	"datum label"	"A label is a symbol that is part of some other datum and is used to either partially define  the denotation of that datum or to provide a means for identifying the datum as a member of the set of data with the same label"	"http://www.golovchenko.org/cgi-bin/wnsearch?q=label#4n"		"http://purl.obolibrary.org/obo/IAO_0000123"	"datum label"	"GROUP: IAO"		
"C"	<http://purl.obolibrary.org/obo/IAO_0000010>	"software"	"Software is a plan specification composed of a series of instructions that can be \ninterpreted by or directly executed by a processing unit."	"see sourceforge tracker discussion at http://sourceforge.net/tracker/index.php?func=detail&aid=1958818&group_id=177891&atid=886178"		"http://purl.obolibrary.org/obo/IAO_0000120"	"software"	"PERSON: Melanie Courtot|PERSON: Bjoern Peters|PERSON: Alan Ruttenberg|PERSON: Chris Stoeckert"		"GROUP: OBI"
"C"	<http://purl.obolibrary.org/obo/IAO_0000012>	"obsolete2_digital entity"	"A digital entity is an information entity which is a collection of bits that can be interpreted by a computer. Two digital entities are the same if they are bitwise identical."	"3/22/2009 Alan Ruttenberg, obsoleted per http://groups.google.com/group/information-ontology/browse_thread/thread/789ad4b7708d5cf4\n\nSuperclass was 'digitial quality'"			"obsolete_digital entity"	"person:Chris Stoeckert"		"group:OBI|OBI_0000261"
"C"	<http://purl.obolibrary.org/obo/IAO_0000013>	"journal article"	"a report that is published in a journal"		"Examples are articles published in the journals, Nature and Science. The content can often be cited by reference to a paper based encoding, e.g.  Authors, Title of article, Journal name, date or year of publication, volume and page number."	"http://purl.obolibrary.org/obo/IAO_0000120"	"journal article"	"person:Chris Stoeckert|person:Alan Ruttenberg"		"group:OBI|OBI_0000159"
"C"	<http://purl.obolibrary.org/obo/IAO_0000015>	"information carrier"	"A quality of an information bearer that imparts the information content"	"2014-03-10: We are not certain that all information carriers are qualities. There was a discussion of dropping it.|12/15/09: There is a concern that some ways that carry information may be processes rather than qualities, such as in a 'delayed wave carrier'."	"In the case of a printed paperback novel the physicality of the ink and of the paper form part of the information bearer. The qualities of appearing black and having a certain pattern for the ink and appearing white for the paper form part of the information carrier in this case."	"http://purl.obolibrary.org/obo/IAO_0000125"	"information carrier"	"PERSON: Alan Ruttenberg"		"Smith, Ceusters, Ruttenberg, 2000 years of philosophy"
"C"	<http://purl.obolibrary.org/obo/IAO_0000017>	"model number"	"A model number is an information content entity specifically borne by catalogs, design specifications, advertising materials, inventory systems and similar  that is about manufactured objects of the same class. The model number is an alternative term for the class. The manufactered objects may or may not also bear the model number. Model numbers can be encoded in a variety of other information objects, such as bar codes, numerals, or patterns of dots."	"manufactered items may have more than one model number, sometimes by rebranding, or because companies are sold and the products issued new model numbers"		"http://purl.obolibrary.org/obo/IAO_0000125"	"model number"	"Person: Alan Ruttenberg"		
"C"	<http://purl.obolibrary.org/obo/IAO_0000018>	"obsolete_material_entity"								
"C"	<http://purl.obolibrary.org/obo/IAO_0000019>	"obsolete2_binary digital entity"	"A binary digital entity is a digital entity that is encoded in a way that is not easily human readable and that contains other than text characters."	"digital_entity|3/22/2009 Alan Ruttenberg, obsoleted per http://groups.google.com/group/information-ontology/browse_thread/thread/789ad4b7708d5cf4\nSuperclass was 'digital entity'"	"MS Word document, ZIP file, DICOM file, JPEG file"		"binary digital entity"	"person:Chris Stoeckert"		"group:OBI|OBI_0000244"
"C"	<http://purl.obolibrary.org/obo/IAO_0000024>	"obsolete_unit of measure"	"a unit of measure is the quality of some material entity compared to which another quality is some multiple of."		"The length of a ruler."			"Alan Ruttenberg"		"Smith, Ceusters, Ruttenberg, 2000 years of philosophy"
"C"	<http://purl.obolibrary.org/obo/IAO_0000025>	"programming language"	"A language in which source code is written that is intended to be executed/run by a software interpreter. Programming languages are ways to write instructions that specify what to do, and sometimes, how to do it."		"R, Perl, Java"	"http://purl.obolibrary.org/obo/IAO_0000120"	"programming language"	"person:Chris Stoeckert|person:Alan Ruttenberg"		"group:OBI|OBI_0000058"
"C"	<http://purl.obolibrary.org/obo/IAO_0000027>	"data item"	"a data item is an information content entity that is intended to be a truthful statement about something (modulo, e.g., measurement precision or other systematic errors) and is constructed/acquired by a method which reliably tends to produce (approximately) truthful statements."	"2009-03-16: removed datum as alternative term as datum specifically refers to singular form, and is thus not an exact synonym.|2009-03-16: data item deliberatly ambiguous: we merged data set and datum to be one entity, not knowing how to define singular versus plural. So data item is more general than datum.|2/2/2009 Alan and Bjoern discussing FACS run output data. This is a data item because it is about the cell population. Each element records an event and is typically further composed a set of measurment data items that record the fluorescent intensity stimulated by one of the lasers.|JAR: datum     -- well, this will be very tricky to define, but maybe some \ninformation-like stuff that might be put into a computer and that is \nmeant, by someone, to denote and/or to be interpreted by some \nprocess... I would include lists, tables, sentences... I think I might \ndefer to Barry, or to Brian Cantwell Smith\n\nJAR: A data item is an approximately justified approximately true approximate belief|2014-03-31: See discussion at http://odontomachus.wordpress.com/2014/03/30/aboutness-objects-propositions/"	"Data items include counts of things, analyte concentrations, and statistical summaries."	"http://purl.obolibrary.org/obo/IAO_0000125"	"data item"	"PERSON: Alan Ruttenberg|PERSON: Jonathan Rees|PERSON: Chris Stoeckert"	"data"	
"C"	<http://purl.obolibrary.org/obo/IAO_0000028>	"symbol"	"An information content entity that is a mark(s) or character(s) used as a conventional representation of another entity."	"2014-03-31: We would like to have a deeper analysis of 'mark' and 'sign' in the future (see https://github.com/information-artifact-ontology/IAO/issues/154).|20091104, MC: this needs work and will most probably change"	"a written proper name such as \"OBI\"|a serial number such as \"12324X\"|a stop sign"	"http://purl.obolibrary.org/obo/IAO_0000125"	"symbol"	"PERSON: Jonathan Rees|PERSON: James A. Overton"		"based on Oxford English Dictionary"
"C"	<http://purl.obolibrary.org/obo/IAO_0000029>	"numeral"	"A symbol that denotes a number."			"http://purl.obolibrary.org/obo/IAO_0000123"	"numeral"	"PERSON: Jonathan Rees"		
"C"	<http://purl.obolibrary.org/obo/IAO_0000030>	"information content entity"	"A generically dependent continuant that is about some thing."	"2014-03-10: The use of \"thing\" is intended to be general enough to include universals and configurations (see https://groups.google.com/d/msg/information-ontology/GBxvYZCk1oc/-L6B5fSBBTQJ).|information_content_entity 'is_encoded_in' some digital_entity in obi before split (040907). information_content_entity 'is_encoded_in' some physical_document in obi before split (040907).\n\nPrevious. An information content entity is a non-realizable information entity that 'is encoded in' some digital or physical entity."	"Examples of information content entites include journal articles, data, graphical layouts, and graphs."	"http://purl.obolibrary.org/obo/IAO_0000122"	"information content entity"	"PERSON: Chris Stoeckert"		"OBI_0000142"
"C"	<http://purl.obolibrary.org/obo/IAO_0000031>	"integer numeral"	"a numeral that denotes an integer"			"http://purl.obolibrary.org/obo/IAO_0000123"	"integer numeral"	"PERSON: Jonathan Rees"		
"C"	<http://purl.obolibrary.org/obo/IAO_0000032>	"scalar measurement datum"	"a scalar measurement datum is a measurement datum that is composed of two parts, numerals and a unit label."	"Would write this as: has_part some 'measurement unit label' and has_part some numeral and has_part exactly 2, except for the fact that this won't let us take advantage of OWL reasoning over the numbers. Instead use has measurment value property to represent the same. Use has measurement unit label (subproperty of has_part) so we can easily say that there is only one of them.|2009-03-16: we decided to keep datum singular in scalar measurement datum, as in\nthis case we explicitly refer to the singular form"	"10 feet. 3 ml."	"http://purl.obolibrary.org/obo/IAO_0000120"		"PERSON: Melanie Courtot|PERSON: Alan Ruttenberg"		
"C"	<http://purl.obolibrary.org/obo/IAO_0000033>	"directive information entity"	"An information content entity whose concretizations indicate to their bearer how to realize them in a process."	"2009-03-16: provenance: a term realizable information entity was proposed for OBI (OBI_0000337) , edited by the PlanAndPlannedProcess branch. Original definition was  \"is the specification of a process that can be concretized and realized by an actor\" with alternative term  \"instruction\".It has been subsequently moved to IAO where the objective for which the original term was defined was satisfied with the definitionof this, different, term.|Werner pushed back on calling it realizable information entity as it isn't realizable. However this name isn't right either. An example would be a recipe. The realizable entity would be a plan, but the information entity isn't about the plan, it, once concretized, *is* the plan. -Alan|2013-05-30 Alan Ruttenberg: What differentiates a directive information entity from an information concretization is that it can have concretizations that are either qualities or realizable entities. The concretizations that are realizable entities are created when an individual chooses to take up the direction, i.e. has the intention to (try to) realize it.|8/6/2009 Alan Ruttenberg: Changed label from \"information entity about a realizable\" after discussions at ICBO"		"http://purl.obolibrary.org/obo/IAO_0000122"		"PERSON: Bjoern Peters|PERSON: Alan Ruttenberg"		
"C"	<http://purl.obolibrary.org/obo/IAO_0000034>	"time trigger"	"revisit?"			"http://purl.obolibrary.org/obo/IAO_0000124"	"time trigger"	"PlanAndPlannedProcess Branch"		"OBI branch derived|OBI_0000331"
"C"	<http://purl.obolibrary.org/obo/IAO_0000035>	"obsolete_study interpretation"	"A study interpretation is a textual entity about the implications of a study result. Examples include discussion of whether a hypothesis is false, whether the study failed to address the hypothesis, and whether the study results have led to new hypotheses"	"2009-03-16: work has been done on this term during during the OBI workshop winter 2009 and the current definition was considered acceptable for use in OBI. If there is a need to modify this definition please notify OBI.|The obsoleting of narrative object required a modest change in the definition of this term.  Circularity with \"interpretation... interprets\" has been removed, using \"about the implications\" instead.|2009-03-16: definition was \"A conclusion is a narrative object which can be published in a paper summerizing and interpreting a protocol application.\""		"http://purl.obolibrary.org/obo/IAO_0000125"	"obsolete_study interpretation"	"Lawrence Hunter|PERSON: Alan Ruttenberg|PERSON: Melanie Courtot|PERSON: Jennifer Fostel"	"conclusion"	"OBI_0000005"
"C"	<http://purl.obolibrary.org/obo/IAO_0000037>	"dot plot"	"A dot plot is a report graph which is a graphical representation of data where each data point is represented by a single dot placed on coordinates corresponding to data point values in particular dimensions."		"Dot plot of SSC-H and FSC-H."	"http://purl.obolibrary.org/obo/IAO_0000002"	"dot plot"	"person:Chris Stoeckert|person:Allyson Lister"		"group:OBI|OBI_0000123"
"C"	<http://purl.obolibrary.org/obo/IAO_0000038>	"graph"	"A diagram that presents one or more tuples of information by mapping those tuples in to a two dimensional space in a non arbitrary way."			"http://purl.obolibrary.org/obo/IAO_0000125"	"graph"	"PERSON: Lawrence Hunter|person:Allyson Lister|person:Alan Ruttenberg"		"group:OBI|OBI_0000240"
"C"	<http://purl.obolibrary.org/obo/IAO_0000047>	"obsolete2_text based digital entity"	"A text based digital entity is a digital entity that is encoded so that it only contains text characters."	"digital_entity|3/22/2009 Alan Ruttenberg, obsoleted per http://groups.google.com/group/information-ontology/browse_thread/thread/789ad4b7708d5cf4\nsuperclass was 'digital document'"	"XML file, C++ source code file"		"text based digital entity"	"person:Chris Stoeckert"		"OBI_0000132|group:OBI"
"C"	<http://purl.obolibrary.org/obo/IAO_0000055>	"rule"	"a rule is an executable which guides, defines, restricts actions"	"MSI"	"example to be added"	"http://purl.obolibrary.org/obo/IAO_0000123"	"rule"	"PRS"		"OBI_0500021|PRS"
"C"	<http://purl.obolibrary.org/obo/IAO_0000057>	"contour plot"		"generically_dependent_continuants"	"Contour plot of SSC-H, FSC-H, and FL1-H."	"http://purl.obolibrary.org/obo/IAO_0000002"	"contour plot"	"person:Chris Stoeckert|person:Allyson Lister"		"OBI_0000246|group:Flow Cytometry community"
"C"	<http://purl.obolibrary.org/obo/IAO_0000059>	"obsolete2_report figure"	"A report figure is a report display element that has some aspect of illustration, but may be a composite of figures, images, and other elements"	"Replaced by defined version of figure|I prepended the 'report ' to make it clear that we mean parts of reports here. We may want a more generic version of 'figure', in which case this would become a defined class - figure and part_of some report"		"http://purl.obolibrary.org/obo/IAO_0000124"	"report figure"	"person:Allyson Lister|person:Alan Ruttenberg"		"group:OBI|OBI_0000027"
"C"	<http://purl.obolibrary.org/obo/IAO_0000064>	"algorithm"	"A plan specification which describes the inputs and output of mathematical functions as well as workflow of execution for achieving an predefined objective. Algorithms are realized usually by means of implementation as computer programs for execution by automata."		"PMID: 18378114.Genomics. 2008 Mar 28. LINKGEN: A new algorithm to process data in genetic linkage studies."	"http://purl.obolibrary.org/obo/IAO_0000120"	"algorithm"	"PlanAndPlannedProcess Branch|Philippe Rocca-Serra"		"OBI_0000270|adapted from discussion on OBI list (Matthew Pocock, Christian Cocos, Alan Ruttenberg)"
"C"	<http://purl.obolibrary.org/obo/IAO_0000065>	"software interpreter"	"A software interpreter is a software application that executes some specified input software. "	"Do we care? Jennifer: Yes, there was a particular version of R that had a bug and it was fixed later. That would imply that we mean specific version of an interpreter. So an instance of this would be a particular version of the interpreter"	"R program, Perl interpreter, Java virtual machine"	"http://purl.obolibrary.org/obo/IAO_0000120"	"software interpreter"	"person:Chris Stoeckert|person:Alan Ruttenberg"		"group:OBI|OBI_0000199"
"C"	<http://purl.obolibrary.org/obo/IAO_0000078>	"curation status specification"	"The curation status of the term. The allowed values come from an enumerated list of predefined terms. See the specification of these instances for more detailed definitions of each enumerated value."	"Better to represent curation as a process with parts and then relate labels to that process (in IAO meeting)"		"http://purl.obolibrary.org/obo/IAO_0000125"	"curation status specification"	"PERSON:Bill Bug"		"GROUP:OBI:<http://purl.obolibrary.org/obo/obi>|OBI_0000266"
"C"	<http://purl.obolibrary.org/obo/IAO_0000079>	"density plot"	"A density plot is a report graph which is a graphical representation of data where the tint of a particular pixel corresponds to some kind of function corresponding the the amount of data points relativelly with their distance from the the pixel."		"Density plot of SSC-H and FSC-H."	"http://purl.obolibrary.org/obo/IAO_0000002"	"density plot"	"person:Chris Stoeckert|person:Allyson Lister"		"group:Flow Cytometry community|OBI_0000179"
"C"	<http://purl.obolibrary.org/obo/IAO_0000088>	"report"	"a document assembled by an author for the purpose of providing information for the audience. A report is the output of a documenting process and has the objective to be consumed by a specific audience. Topic of the report is on something that has completed. A report is not a single figure. Examples of reports are journal article, patent application, grant progress report, case report (not patient record)"	"2009-03-16: this was report of results with definition: A report is a narrative object that is a formal statement of the results of an investigation, or of any matter on which definite information is required, made by some person or body instructed or required to do so.|2009-08-10 Alan Ruttenberg: Larry Hunter suggests that this be obsoleted and replaced by 'document'. Alan restored as there are OBI dependencies and this merits further discussion|2009-03-16: work has been done on this term during during the OBI workshop winter 2009 and the current definition was considered acceptable for use in OBI. If there is a need to modify this definition please notify OBI.|2009-03-16: comment from Darren Natale: I am slightly uneasy with the sentence \"Topic of the report is on \nsomething that has completed.\"  Should it be restricted to those things \nthat are completed?  For example, a progress report is (usually) about \nsomething that definitely has *not* been completed, or may include \n(only) projections.  I think the definition would not suffer if the \nwhole sentence is deleted.|disagreement about where reports go. alan: only some gene lists are reports. Is a report all the content of some document? The example of usage suggests that a report may be part of  some article. Term needs clarification"	"Examples of reports are gene lists and investigation reports. These are not published (journal) articles but may be included in a journal article."	"http://purl.obolibrary.org/obo/IAO_0000125"	"report"	"PERSON: Melanie Courtot|PERSON: Alan Ruttenberg|PERSON:Chris Stoeckert"		"OBI_0000099|GROUP: OBI"
